MonthYear,Station,Entry_Exit,Trip
2016-07,Aberdeen Station,Entry,Less than 50
2016-07,Aberdeen Station,Exit,Less than 50
2016-07,Adamstown Station,Entry,1410
2016-07,Adamstown Station,Exit,1270
2016-07,Albion Park Station,Entry,5050
2016-07,Albion Park Station,Exit,4210
2016-07,Allawah Station,Entry,61510
2016-07,Allawah Station,Exit,54840
2016-07,Arncliffe Station,Entry,52950
2016-07,Arncliffe Station,Exit,47040
2016-07,Artarmon Station,Entry,143790
2016-07,Artarmon Station,Exit,134540
2016-07,Ashfield Station,Entry,310650
2016-07,Ashfield Station,Exit,302430
2016-07,Asquith Station,Entry,25220
2016-07,Asquith Station,Exit,22170
2016-07,Auburn Station,Entry,278170
2016-07,Auburn Station,Exit,271780
2016-07,Austinmer Station,Entry,3110
2016-07,Austinmer Station,Exit,2980
2016-07,Awaba Station,Entry,430
2016-07,Awaba Station,Exit,330
2016-07,Banksia Station,Entry,38210
2016-07,Banksia Station,Exit,34990
2016-07,Bankstown Station,Entry,197170
2016-07,Bankstown Station,Exit,201980
2016-07,Bardwell Park Station,Entry,27620
2016-07,Bardwell Park Station,Exit,24700
2016-07,Bargo Station,Entry,1490
2016-07,Bargo Station,Exit,1300
2016-07,Bathurst Station,Entry,1940
2016-07,Bathurst Station,Exit,1320
2016-07,Beecroft Station,Entry,44860
2016-07,Beecroft Station,Exit,42240
2016-07,Bell Station,Entry,Less than 50
2016-07,Bell Station,Exit,60
2016-07,Bellambi Station,Entry,2360
2016-07,Bellambi Station,Exit,2240
2016-07,Belmore Station,Entry,60800
2016-07,Belmore Station,Exit,56020
2016-07,Berala Station,Entry,41630
2016-07,Berala Station,Exit,38520
2016-07,Beresfield Station,Entry,4140
2016-07,Beresfield Station,Exit,3400
2016-07,Berowra Station,Entry,33410
2016-07,Berowra Station,Exit,30880
2016-07,Berry Station,Entry,1710
2016-07,Berry Station,Exit,1660
2016-07,Beverly Hills Station,Entry,50930
2016-07,Beverly Hills Station,Exit,46790
2016-07,Bexley North Station,Entry,27130
2016-07,Bexley North Station,Exit,24360
2016-07,Birrong Station,Entry,21230
2016-07,Birrong Station,Exit,19240
2016-07,Blackheath Station,Entry,6310
2016-07,Blackheath Station,Exit,5890
2016-07,Blacktown Station,Entry,372920
2016-07,Blacktown Station,Exit,382800
2016-07,Blaxland Station,Entry,15250
2016-07,Blaxland Station,Exit,14190
2016-07,Bomaderry Station,Entry,7430
2016-07,Bomaderry Station,Exit,6340
2016-07,Bombo Station,Entry,490
2016-07,Bombo Station,Exit,350
2016-07,Bondi Junction Station,Entry,626540
2016-07,Bondi Junction Station,Exit,611740
2016-07,Booragul Station,Entry,620
2016-07,Booragul Station,Exit,580
2016-07,Bowral Station,Entry,5760
2016-07,Bowral Station,Exit,5080
2016-07,Branxton Station,Entry,Less than 50
2016-07,Branxton Station,Exit,60
2016-07,Broadmeadow Station,Entry,20690
2016-07,Broadmeadow Station,Exit,19960
2016-07,Bullaburra Station,Entry,1660
2016-07,Bullaburra Station,Exit,1540
2016-07,Bulli Station,Entry,3430
2016-07,Bulli Station,Exit,3140
2016-07,Bundanoon Station,Entry,380
2016-07,Bundanoon Station,Exit,280
2016-07,Burradoo Station,Entry,320
2016-07,Burradoo Station,Exit,330
2016-07,Burwood Station,Entry,430630
2016-07,Burwood Station,Exit,434010
2016-07,Cabramatta Station,Entry,192190
2016-07,Cabramatta Station,Exit,186640
2016-07,Camellia Station,Entry,1850
2016-07,Camellia Station,Exit,2290
2016-07,Campbelltown Station,Entry,132510
2016-07,Campbelltown Station,Exit,131470
2016-07,Campsie Station,Entry,190620
2016-07,Campsie Station,Exit,184190
2016-07,Canley Vale Station,Entry,58830
2016-07,Canley Vale Station,Exit,52480
2016-07,Canterbury Station,Entry,47610
2016-07,Canterbury Station,Exit,41560
2016-07,Cardiff Station,Entry,14670
2016-07,Cardiff Station,Exit,13580
2016-07,Caringbah Station,Entry,61220
2016-07,Caringbah Station,Exit,58310
2016-07,Carlingford Station,Entry,7190
2016-07,Carlingford Station,Exit,5930
2016-07,Carlton Station,Entry,62230
2016-07,Carlton Station,Exit,57240
2016-07,Carramar Station,Entry,12530
2016-07,Carramar Station,Exit,10570
2016-07,Casula Station,Entry,6290
2016-07,Casula Station,Exit,5790
2016-07,Central Station,Entry,2452000
2016-07,Central Station,Exit,2496070
2016-07,Chatswood Station,Entry,672020
2016-07,Chatswood Station,Exit,695540
2016-07,Cheltenham Station,Entry,23990
2016-07,Cheltenham Station,Exit,21230
2016-07,Chester Hill Station,Entry,21670
2016-07,Chester Hill Station,Exit,19640
2016-07,Circular Quay Station,Entry,864350
2016-07,Circular Quay Station,Exit,845210
2016-07,Civic Station,Entry,7060
2016-07,Civic Station,Exit,500
2016-07,Clarendon Station,Entry,1560
2016-07,Clarendon Station,Exit,1490
2016-07,Clyde Station,Entry,16610
2016-07,Clyde Station,Exit,17700
2016-07,Coalcliff Station,Entry,540
2016-07,Coalcliff Station,Exit,570
2016-07,Cockle Creek Station,Entry,540
2016-07,Cockle Creek Station,Exit,550
2016-07,Coledale Station,Entry,780
2016-07,Coledale Station,Exit,700
2016-07,Como Station,Entry,17210
2016-07,Como Station,Exit,14840
2016-07,Concord West Station,Entry,51510
2016-07,Concord West Station,Exit,48490
2016-07,Coniston Station,Entry,5220
2016-07,Coniston Station,Exit,4750
2016-07,Corrimal Station,Entry,3590
2016-07,Corrimal Station,Exit,3330
2016-07,Cowan Station,Entry,1610
2016-07,Cowan Station,Exit,1940
2016-07,Cringila Station,Entry,150
2016-07,Cringila Station,Exit,130
2016-07,Cronulla Station,Entry,61890
2016-07,Cronulla Station,Exit,59870
2016-07,Croydon Station,Entry,50740
2016-07,Croydon Station,Exit,45690
2016-07,Dapto Station,Entry,11600
2016-07,Dapto Station,Exit,10520
2016-07,Denistone Station,Entry,14030
2016-07,Denistone Station,Exit,12430
2016-07,Domestic Station,Entry,226400
2016-07,Domestic Station,Exit,215400
2016-07,Doonside Station,Entry,52110
2016-07,Doonside Station,Exit,46700
2016-07,Dora Creek Station,Entry,820
2016-07,Dora Creek Station,Exit,740
2016-07,Douglas Park Station,Entry,710
2016-07,Douglas Park Station,Exit,660
2016-07,Dulwich Hill Station,Entry,60960
2016-07,Dulwich Hill Station,Exit,53430
2016-07,Dundas Station,Entry,4460
2016-07,Dundas Station,Exit,3430
2016-07,Dungog Station,Entry,550
2016-07,Dungog Station,Exit,450
2016-07,East Hills Station,Entry,18690
2016-07,East Hills Station,Exit,16820
2016-07,East Maitland Station,Entry,700
2016-07,East Maitland Station,Exit,730
2016-07,East Richmond Station,Entry,4760
2016-07,East Richmond Station,Exit,5980
2016-07,Eastwood Station,Entry,199870
2016-07,Eastwood Station,Exit,196840
2016-07,Edgecliff Station,Entry,207580
2016-07,Edgecliff Station,Exit,199190
2016-07,Edmondson Park Station,Entry,19060
2016-07,Edmondson Park Station,Exit,17700
2016-07,Emu Plains Station,Entry,31140
2016-07,Emu Plains Station,Exit,28680
2016-07,Engadine Station,Entry,28620
2016-07,Engadine Station,Exit,27580
2016-07,Epping Station,Entry,263890
2016-07,Epping Station,Exit,260890
2016-07,Erskineville Station,Entry,64300
2016-07,Erskineville Station,Exit,59140
2016-07,Exeter Station,Entry,130
2016-07,Exeter Station,Exit,90
2016-07,Fairfield Station,Entry,152000
2016-07,Fairfield Station,Exit,146270
2016-07,Fairy Meadow Station,Entry,2730
2016-07,Fairy Meadow Station,Exit,2710
2016-07,Fassifern Station,Entry,9110
2016-07,Fassifern Station,Exit,8520
2016-07,Faulconbridge Station,Entry,2710
2016-07,Faulconbridge Station,Exit,2550
2016-07,Flemington Station,Entry,105930
2016-07,Flemington Station,Exit,99840
2016-07,Gerringong Station,Entry,1060
2016-07,Gerringong Station,Exit,1000
2016-07,Glenbrook Station,Entry,11710
2016-07,Glenbrook Station,Exit,10450
2016-07,Glenfield Station,Entry,109900
2016-07,Glenfield Station,Exit,103180
2016-07,Gordon Station,Entry,146100
2016-07,Gordon Station,Exit,140280
2016-07,Gosford Station,Entry,116790
2016-07,Gosford Station,Exit,115430
2016-07,Goulburn Station,Entry,1100
2016-07,Goulburn Station,Exit,870
2016-07,Granville Station,Entry,178980
2016-07,Granville Station,Exit,170070
2016-07,Green Square Station,Entry,228550
2016-07,Green Square Station,Exit,217780
2016-07,Greta Station,Entry,70
2016-07,Greta Station,Exit,Less than 50
2016-07,Guildford Station,Entry,61450
2016-07,Guildford Station,Exit,53970
2016-07,Gymea Station,Entry,47660
2016-07,Gymea Station,Exit,44260
2016-07,Hamilton Station,Entry,52950
2016-07,Hamilton Station,Exit,37790
2016-07,Harris Park Station,Entry,56480
2016-07,Harris Park Station,Exit,53880
2016-07,Hawkesbury River Station,Entry,6000
2016-07,Hawkesbury River Station,Exit,6150
2016-07,Hazelbrook Station,Entry,8420
2016-07,Hazelbrook Station,Exit,7790
2016-07,Heathcote Station,Entry,13330
2016-07,Heathcote Station,Exit,12280
2016-07,Helensburgh Station,Entry,13410
2016-07,Helensburgh Station,Exit,12590
2016-07,Hexham Station,Entry,210
2016-07,Hexham Station,Exit,250
2016-07,High Street Station,Entry,360
2016-07,High Street Station,Exit,450
2016-07,Hilldale Station,Entry,Less than 50
2016-07,Hilldale Station,Exit,Less than 50
2016-07,Holsworthy Station,Entry,71150
2016-07,Holsworthy Station,Exit,67460
2016-07,Homebush Station,Entry,56880
2016-07,Homebush Station,Exit,55980
2016-07,Hornsby Station,Entry,282890
2016-07,Hornsby Station,Exit,281020
2016-07,Hurlstone Park Station,Entry,31490
2016-07,Hurlstone Park Station,Exit,27290
2016-07,Hurstville Station,Entry,474060
2016-07,Hurstville Station,Exit,478650
2016-07,Ingleburn Station,Entry,71760
2016-07,Ingleburn Station,Exit,70540
2016-07,International Station,Entry,123890
2016-07,International Station,Exit,122650
2016-07,Jannali Station,Entry,57850
2016-07,Jannali Station,Exit,55870
2016-07,Katoomba Station,Entry,37100
2016-07,Katoomba Station,Exit,39390
2016-07,Kembla Grange Station,Entry,60
2016-07,Kembla Grange Station,Exit,140
2016-07,Kiama Station,Entry,10840
2016-07,Kiama Station,Exit,10550
2016-07,Killara Station,Entry,51510
2016-07,Killara Station,Exit,47190
2016-07,Kings Cross Station,Entry,392130
2016-07,Kings Cross Station,Exit,407280
2016-07,Kingsgrove Station,Entry,56380
2016-07,Kingsgrove Station,Exit,54160
2016-07,Kingswood Station,Entry,43820
2016-07,Kingswood Station,Exit,40100
2016-07,Kirrawee Station,Entry,31570
2016-07,Kirrawee Station,Exit,28240
2016-07,Kogarah Station,Entry,266780
2016-07,Kogarah Station,Exit,256420
2016-07,Koolewong Station,Entry,2680
2016-07,Koolewong Station,Exit,1980
2016-07,Kotara Station,Entry,750
